Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
"DM, M/AM (LC)",37.2539356605065,12,18,14,90,6.8,12,12,12,14,16,3500,95,124,10,85,83
"DM, M/AM (C)",35.14579055441479,19,15,15,2532,6.58,16,15,15,16,16,6250,146,159,18,185,141
GK,34.38466803559206,15,13,12,2880,6.81,16,12,17,7,5,5250,127,153,15,125,122
GK,34.80355920602327,11,10,14,90,7.2,10,7,14,11,4,2300,84,115,5,107,78
ST (C),34.48596851471595,13,14,12,106,6.63,13,13,11,12,14,4500,114,146,11,117,105
GK,35.29363449691992,20,14,12,270,6.63,16,13,15,13,6,5750,136,150,20,185,130
"AM (RC), ST (C)",33.927446954141,16,14,15,574,6.55,13,12,14,12,15,4500,123,142,16,185,114
D (C),34.261464750171115,14,12,13,0,0.0,12,11,12,10,18,5500,124,138,15,185,115
ST (C),34.286105407255306,16,15,15,0,0.0,10,12,11,13,5,3000,102,122,13,134,95
M/AM (C),33.65366187542779,6,9,11,3102,6.65,14,7,7,7,9,2400,75,105,9,72,65
"D (C), DM, M (C)",33.91375770020534,18,16,14,365,6.48,12,13,11,11,18,3000,96,140,17,107,85
D (C),34.4394250513347,15,14,11,2982,6.73,14,13,12,10,18,3500,97,131,6,85,89
ST (C),34.247775496235455,8,6,11,275,7.04,10,10,12,5,13,1250,73,85,3,72,62
"DM, M (C)",36.18069815195072,14,14,14,0,0.0,9,11,7,12,14,2500,81,134,17,107,70
D (C),35.27446954140999,8,17,10,4331,6.79,9,8,10,12,13,1150,74,93,6,46,63
D (C),34.64476386036961,18,16,15,789,6.64,14,11,12,15,6,2800,90,130,6,85,82
"DM, M (C)",36.591375770020534,15,9,8,1653,7.03,10,8,13,9,9,2000,76,107,9,46,66
D (C),32.59411362080767,17,13,13,2458,6.67,11,11,12,15,4,3500,112,134,14,134,109
ST (C),36.271047227926076,16,11,12,388,6.88,12,11,14,18,13,4000,102,136,12,85,94
D (C),36.049281314168375,16,14,12,0,0.0,11,10,11,10,12,2250,78,110,9,72,75
"M (RL), AM (RLC)",34.458590006844624,8,10,13,1887,6.84,14,13,7,10,8,3000,90,120,7,72,79
"DM, M (C)",34.65845311430527,7,11,13,921,6.51,15,10,12,7,12,3500,92,128,9,85,81
GK,40.2217659137577,17,14,14,961,6.93,10,8,14,12,15,6200,139,167,14,178,120
ST (C),38.770704996577685,16,14,13,119,6.83,10,12,10,16,4,1750,36,120,1,46,28
"DM, M (C)",35.006160164271044,12,12,10,2868,6.9,14,12,12,9,12,3500,110,120,14,140,99
"M (R), AM (RL)",30.299794661190965,12,13,11,533,6.56,11,9,11,12,9,2800,112,127,10,125,112
D/WB/M (L),37.672826830937716,13,18,8,1830,6.85,17,13,14,10,11,5250,130,137,19,140,115
GK,35.64955509924709,7,12,12,360,6.35,9,7,12,9,13,3700,109,124,10,140,101
GK,35.63586584531143,15,15,12,495,6.9,14,12,10,9,2,3750,112,124,15,173,105
D (C),30.90485968514716,14,12,14,2880,6.94,12,10,14,13,3,4250,125,130,9,130,125
GK,37.97125256673511,19,16,13,3600,6.76,16,15,14,15,7,6000,132,148,13,173,124
ST (C),34.64202600958248,16,14,16,3159,7.03,14,11,15,12,5,4950,128,136,17,120,120
M/AM (RL),32.79671457905544,17,14,13,2671,6.6,11,11,13,13,7,5200,129,144,13,173,125
AM (RL),36.18069815195072,10,12,10,430,6.71,16,11,11,16,13,2750,110,145,6,130,99
GK,35.96167008898015,18,14,16,3270,7.0,10,11,10,8,10,2100,97,108,12,104,94
GK,34.217659137577,13,12,10,540,7.08,11,12,13,13,9,2750,110,120,14,130,104
GK,40.837782340862425,20,20,20,1110,6.86,13,14,12,20,6,6000,135,175,17,178,120
"M (C), AM (RLC)",38.379192334017795,13,8,12,2188,6.94,12,10,13,20,7,2100,92,105,8,73,82
GK,39.1047227926078,11,13,13,0,0.0,14,13,15,8,11,4600,122,144,12,178,105
GK,41.75770020533881,15,14,11,3150,6.66,14,15,14,13,5,2950,99,129,9,87,89
D (C),37.82614647501711,15,13,15,3012,6.84,16,13,15,16,12,6750,148,161,17,178,128
"M (C), AM (RLC)",38.55167693360712,19,15,14,2409,6.77,16,14,16,17,12,6250,140,165,15,116,122
D/WB/M/AM (R),37.61259411362081,18,16,14,3585,6.86,15,15,13,5,12,6350,137,161,16,178,125
GK,37.582477754962355,8,8,8,2482,6.83,10,5,15,7,9,3500,110,122,7,73,99
D (C),37.25941136208077,18,20,18,4150,6.94,20,19,13,12,9,7050,151,174,16,178,146
GK,36.139630390143736,16,13,13,3189,6.96,12,12,15,14,9,5900,138,155,20,158,136
"M (RL), AM (RLC), ST (C)",36.49007529089665,11,2,11,2793,7.03,15,8,11,9,9,2500,100,120,2,73,87
"D (RL), WB (R)",36.6735112936345,18,15,12,1923,6.96,12,12,15,14,6,4000,115,130,17,125,107
"AM (RL), ST (C)",38.68309377138946,14,17,13,0,0.0,16,14,13,10,7,3950,108,121,11,120,98
D (LC),36.12320328542094,15,14,14,3085,6.78,14,12,14,10,9,2100,90,120,5,80,80
"D (RC), WB/M (R)",36.12867898699521,15,11,11,2913,6.61,14,12,10,9,5,4500,106,132,7,80,96
D (C),36.19164955509925,16,14,15,2923,6.71,12,15,14,10,6,2600,99,120,5,80,95
ST (C),36.96646132785763,15,17,13,0,0.0,12,10,12,19,9,2800,101,120,12,80,89
D (C),37.40451745379877,18,15,14,1189,6.63,13,15,14,19,8,4950,114,141,14,120,104
ST (C),38.8145106091718,18,18,18,2374,7.17,15,13,14,14,8,4750,106,136,12,80,95
GK,37.30047912388775,15,15,15,0,0.0,10,10,11,10,8,3200,96,119,14,173,85
"DM, M (C)",36.10403832991102,17,14,13,3112,7.03,13,16,13,9,9,3600,110,113,12,80,101
ST (C),37.021218343600275,10,12,12,23,6.4,15,8,14,10,10,3500,104,113,8,125,93
ST (C),36.04654346338125,15,15,18,1166,6.73,16,15,15,13,14,4500,108,135,12,120,98
GK,37.58521560574949,13,13,11,3360,6.76,16,11,12,15,12,5250,112,150,13,120,102
"D (RLC), WB (RL), M (R)",33.582477754962355,20,18,16,2614,6.9,14,18,15,10,5,6250,147,150,18,173,144
GK,36.42984257357974,17,17,16,3510,6.85,14,13,13,13,4,5000,129,143,12,173,126
"M (C), AM (LC)",34.861054072553046,13,13,12,12,0.0,10,11,13,12,10,5000,119,135,14,173,108
ST (C),34.757015742642025,18,14,15,1799,6.95,14,15,11,13,8,4550,106,125,17,80,103
"D (C), DM, M (C)",36.45722108145106,15,14,12,1629,6.66,15,13,12,11,5,2250,97,122,5,80,86
D (C),35.214236824093085,15,13,14,1819,6.6,13,12,11,14,14,4000,91,123,6,80,82
GK,37.686516084873375,17,16,15,180,6.3,13,7,13,15,7,4250,108,140,14,173,100
GK,35.98631074606434,12,12,15,3150,6.64,11,10,12,12,8,2250,91,112,5,80,86
"D (RL), WB (R)",31.967145790554415,14,11,11,667,6.65,13,12,11,11,5,2750,110,125,11,130,101
D (LC),36.19164955509925,14,12,14,2936,6.84,13,17,16,14,11,6250,132,165,18,147,117
"D (C), DM",33.73305954825462,14,14,14,2840,6.97,13,12,13,12,14,4500,116,129,11,96,107
D (RC),26.373716632443532,12,14,11,2880,6.83,13,11,13,12,12,3500,126,135,12,161,128
"D (C), DM",36.106776180698155,17,15,15,6,0.0,13,12,15,18,5,3750,107,120,12,110,100
GK,33.62628336755647,13,13,14,2461,6.78,13,11,15,11,7,3500,109,115,12,85,101
"D (RC), DM",35.09924709103354,13,15,14,2519,6.77,11,10,12,14,8,4250,121,130,20,147,111
"DM, M (C)",35.34839151266256,18,16,16,3314,6.9,14,12,13,14,10,5500,122,135,17,147,121
GK,35.60301163586585,13,14,12,0,0.0,6,12,14,13,12,2500,100,115,14,85,96
"D (LC), WB (L)",33.76043805612594,5,4,15,636,6.65,12,9,11,14,5,2000,90,105,13,85,79
GK,35.32375085557837,18,15,15,3810,6.85,13,13,13,16,4,5750,135,152,20,147,135
"D (C), DM, M (C)",34.469541409993155,16,13,8,3513,6.92,18,18,16,17,10,6600,147,160,17,178,141
ST (C),34.280629705681044,15,13,7,2379,6.93,15,16,14,15,4,3750,110,135,15,96,99
M/AM (RL),33.91649555099247,15,12,14,1160,6.67,12,13,9,8,19,5000,120,145,13,147,109
"AM (RLC), ST (C)",33.724845995893226,10,14,13,1946,7.06,14,11,14,12,11,2000,98,106,8,85,87
"DM, M (RC), AM (RLC)",36.35044490075291,14,12,14,434,6.71,12,8,8,8,6,4250,105,110,12,96,94
"D (C), DM, M (C)",36.16974674880219,12,14,13,2479,6.64,12,11,16,11,16,4200,97,111,12,96,86
GK,33.229295003422315,14,14,15,1710,6.62,2,13,11,11,5,1700,77,89,12,85,72
"DM, M (C)",34.80355920602327,12,14,12,74,6.9,12,11,15,10,18,1700,106,114,11,96,95
"D (C), DM, M (C)",37.270362765229294,13,17,10,1604,6.76,14,8,18,20,15,2000,94,115,14,85,84
"D (RC), WB (R), DM",32.71184120465435,14,14,12,2601,6.74,15,11,14,13,5,3500,113,113,10,96,108
GK,32.53114305270363,14,14,14,360,6.75,15,14,11,7,15,3000,96,110,14,147,90
"WB (R), DM, M (R)",32.97741273100616,8,17,10,1502,6.76,16,9,12,12,7,950,79,88,10,85,75
ST (C),32.5284052019165,12,11,10,125,6.53,5,11,11,18,11,2500,87,100,13,85,79
"D (C), DM",33.31690622861054,10,7,11,2989,6.88,12,12,12,18,8,1250,92,110,10,85,82
"DM, M (C)",33.35523613963039,8,2,13,596,6.75,6,13,20,9,5,250,75,76,12,85,62
D/WB/M/AM (R),33.08145106091718,7,10,11,555,6.74,13,7,14,12,16,3750,104,115,12,147,93
GK,33.177275838466805,14,14,14,4020,6.75,11,14,15,17,12,4250,121,124,12,147,120
"D (RC), WB (R)",34.5927446954141,14,17,10,3653,6.8,15,13,17,15,11,4250,122,133,15,147,115
D (LC),38.17385352498289,13,13,13,2205,6.75,13,10,12,10,11,2250,90,115,7,66,79
GK,38.26420260095825,17,14,16,3630,6.75,14,13,15,8,3,5500,134,154,16,161,123
"AM (R), ST (C)",36.34496919917864,13,14,13,2138,7.15,13,12,11,7,10,2650,98,115,5,66,87
"DM, M (C)",37.0321697467488,11,13,10,1962,6.97,13,10,12,10,10,2000,91,115,5,66,80
"AM (C), ST (C)",36.15605749486653,12,14,16,10,0.0,12,11,10,15,12,4500,112,158,11,120,100
D (C),38.24229979466119,17,15,14,1980,6.88,9,15,10,10,8,3500,102,136,15,85,91
D (LC),36.785763175906915,12,14,11,2068,6.67,13,11,12,12,7,1500,89,96,4,66,78
"D (C), DM",35.94250513347023,16,15,13,2160,6.7,12,8,10,14,9,3000,90,110,7,66,79
"D (RL), WB (R)",35.121149897330596,14,14,12,2368,6.92,12,14,11,17,9,1450,89,101,6,66,78
"DM, M (C)",37.28678986995209,17,13,14,2768,6.96,14,12,12,12,5,3550,110,142,12,85,100
ST (C),38.554414784394254,13,10,14,3025,7.1,12,12,14,12,7,3250,102,135,10,85,90
GK,36.56673511293634,15,14,13,2779,6.72,14,12,12,13,5,3550,117,130,11,117,112
"DM, M (C)",37.31416837782341,20,17,16,1644,6.67,14,18,18,16,2,5000,130,132,13,173,125
"DM, M (C)",38.47775496235455,14,16,13,797,6.89,14,13,12,16,15,3750,115,148,6,117,102
"AM (RL), ST (C)",37.327857631759066,14,13,13,1618,6.86,14,12,11,17,10,3000,100,120,8,66,88
"DM, M/AM (C)",35.58658453114305,11,10,12,2679,7.05,13,8,12,18,8,2500,100,105,5,85,89
D/WB/M (R),36.46543463381246,17,15,13,928,6.64,14,12,12,17,10,3750,110,124,5,117,99
"D (C), DM, M (C)",37.11978097193703,15,16,15,1334,6.81,12,14,10,14,11,4000,97,148,14,85,85
"DM, M (RC)",34.458590006844624,15,14,13,515,7.12,13,13,11,19,14,3650,113,129,13,117,102
GK,34.32443531827516,12,13,11,180,6.7,13,10,12,11,7,1500,85,96,8,85,80
M/AM (C),35.47707049965777,13,11,14,1545,6.52,12,6,10,8,15,2750,98,147,5,66,87
D (C),36.71731690622861,16,14,12,3471,6.6,13,12,12,15,9,5400,123,137,11,116,115
D (RLC),35.19507186858316,16,15,14,1569,6.7,13,14,11,12,7,3000,96,117,13,85,85
GK,34.286105407255306,14,15,12,1530,6.79,15,12,11,17,5,3000,110,115,12,161,107
D (C),34.119096509240244,14,15,13,45,0.0,14,13,12,10,9,3250,107,125,10,117,101
GK,35.42505133470226,10,13,13,3330,6.64,15,11,11,12,8,2750,110,124,12,117,105
"AM (RL), ST (C)",33.541409993155376,15,15,16,1396,6.55,15,15,13,17,7,5500,124,140,15,161,117
"M (L), AM (LC)",35.97809719370294,10,10,14,2099,7.03,14,8,9,14,13,2250,94,132,8,66,84
D (C),36.328542094455855,15,15,14,90,6.6,12,11,10,6,4,4250,100,135,12,80,90
"DM, M/AM (C)",32.68446269678302,12,13,15,3254,6.89,13,12,12,7,10,5000,112,135,6,117,104
ST (C),34.8062970568104,12,13,14,2485,7.16,10,14,13,9,6,3000,113,115,12,117,104
"DM, M/AM (C)",34.8145106091718,14,14,12,2985,6.9,14,11,13,11,5,3250,110,116,12,117,100
DM,36.26830937713895,13,15,12,1866,6.81,13,12,13,5,8,3500,101,119,6,66,91
"DM, M (C)",33.648186173853524,12,8,11,2771,6.66,14,7,12,14,10,5000,115,155,6,130,106
GK,37.12799452429842,13,16,13,1914,6.68,16,14,14,17,5,1500,86,100,6,66,75
"M (RL), AM (RLC)",36.709103353867214,14,11,15,3243,6.81,14,14,10,8,5,3500,111,125,8,117,98
ST (C),33.39356605065024,12,8,12,2551,6.9,12,10,10,11,5,1650,86,95,4,66,77
"DM, M (C)",34.97604380561259,5,11,10,401,6.71,15,8,11,8,11,6250,141,148,17,178,126
"M (RC), AM (R)",33.87816563997262,15,13,15,367,6.92,13,13,13,14,5,5000,124,150,14,161,116
AM (LC),33.34428473648186,8,9,10,788,7.22,12,10,12,13,8,1500,92,100,4,66,81
ST (C),33.40451745379877,16,10,16,2622,6.71,16,12,9,11,6,4000,113,138,5,107,107
GK,33.57973990417522,16,15,15,630,6.74,10,11,11,10,9,5250,121,140,19,134,115
ST (C),35.43326488706366,12,15,18,364,6.63,16,14,10,15,10,4000,74,140,14,72,63
"DM, M/AM (C)",34.67488021902806,17,12,12,142,6.68,16,11,12,18,14,4000,100,135,16,134,93
D (C),41.22108145106092,12,15,15,2551,6.73,13,14,15,3,1,900,47,69,5,46,35
GK,38.171115674195754,16,10,10,0,0.0,13,8,11,8,9,3250,110,115,15,173,99
"DM, M/AM (C)",37.74401095140315,17,11,15,0,0.0,10,11,9,11,10,1250,80,125,11,125,69
GK,37.267624914442166,15,18,16,3420,6.93,17,20,16,8,12,8000,162,193,19,173,151
"DM, M (LC)",36.89801505817933,7,11,11,0,0.0,11,11,11,13,10,2300,97,115,10,94,85
ST (C),35.846680355920604,16,15,12,310,6.62,15,13,13,6,10,3750,111,136,9,94,103
"M (RLC), AM (C)",35.75359342915811,18,16,14,0,0.0,17,14,17,10,5,1900,93,125,14,125,86
GK,36.54757015742642,18,16,15,360,7.12,17,15,15,14,9,6750,151,167,20,161,144
GK,38.510609171800134,12,12,9,2468,6.61,14,10,11,7,14,3250,95,116,9,73,84
GK,37.073237508555785,15,15,14,3660,6.82,12,12,12,12,6,2650,108,130,12,104,99
D (C),38.776180698151954,20,15,17,1845,6.74,13,11,15,13,11,7500,156,174,20,185,140
D (C),37.158110882956876,15,12,15,2542,6.65,10,13,12,13,7,3950,119,121,13,158,103
GK,35.663244353182755,13,11,12,2610,6.79,12,12,11,13,8,1450,84,89,13,86,78
ST (C),37.152635181382614,15,14,15,1174,6.89,10,12,10,15,15,1650,88,93,15,86,77
D (C),36.84873374401095,12,11,12,39,6.8,8,13,10,11,7,2250,100,115,12,104,89
D (RC),36.53661875427789,14,14,14,1693,6.61,12,14,12,13,12,4150,113,130,8,158,103
D/WB/M (L),36.25462012320329,15,16,14,2492,6.83,13,13,13,15,7,3250,115,147,14,104,104
"D (RC), WB (R)",34.93223819301848,11,10,10,2104,6.83,9,10,11,9,11,1500,96,103,4,66,85
ST (C),29.190965092402465,15,17,15,2731,7.05,14,17,15,14,7,6250,141,144,12,178,141
D (C),29.352498288843258,15,15,14,2902,6.86,13,14,13,12,8,6400,148,154,17,173,148
"AM (RLC), ST (C)",28.09034907597536,15,15,15,2194,6.79,14,15,12,15,8,5800,131,137,15,178,131
"DM, M (C)",27.222450376454482,14,15,15,1965,6.71,13,15,16,11,3,3500,128,138,15,173,131
"D (C), DM",33.51129363449692,13,13,10,3538,6.92,13,8,12,10,10,2800,110,120,6,117,103
"DM, M (C)",31.956194387405887,14,14,16,1862,6.83,13,12,11,13,7,5250,120,145,14,134,111
"D/WB (R), DM, M (C)",31.871321013004792,14,15,11,2340,6.99,14,13,12,14,7,1750,97,101,8,66,91
"DM, M (C)",29.50034223134839,12,13,11,2160,7.2,10,10,11,9,8,1500,97,106,2,66,97
ST (C),35.03901437371663,12,16,14,2464,6.73,14,14,13,12,8,6000,126,156,14,147,116
"DM, M (C)",31.975359342915812,14,13,12,2337,6.87,10,12,11,16,12,3350,107,120,15,94,99
"D (LC), WB (L)",28.213552361396303,11,16,16,1875,6.83,14,11,13,13,10,6150,143,148,19,173,143
D/WB (RL),29.533196440793976,10,14,12,2679,6.85,1,13,13,12,7,3500,120,126,14,117,120
"D (LC), WB (L)",31.42778918548939,13,13,12,538,6.79,12,12,13,14,12,4300,116,120,14,125,104
"DM, M (C)",30.976043805612594,16,14,14,343,6.74,12,14,13,14,6,6250,139,155,19,185,138
"DM, M (C)",21.94387405886379,16,16,10,3412,6.83,13,13,15,14,4,2000,90,130,12,85,105
AM (RL),24.331279945242983,13,13,12,1075,6.62,11,12,11,13,6,3600,121,128,14,161,121
M/AM (RL),23.49075975359343,11,11,11,1113,6.73,12,11,11,14,6,3250,110,127,8,117,110
ST (C),25.9958932238193,13,3,10,383,7.04,7,10,13,13,7,2750,110,120,10,117,110
ST (C),28.54483230663929,9,3,12,2758,7.04,8,12,14,16,11,1500,85,100,10,94,85
"M (C), AM (RLC)",22.357289527720738,10,15,16,3126,6.89,14,8,7,14,9,3200,120,138,14,147,131
ST (C),24.046543463381244,13,13,13,539,6.72,10,7,12,10,8,5600,122,135,14,178,122
ST (C),26.86652977412731,11,13,10,2897,6.74,11,12,12,12,5,2500,100,105,5,85,100
GK,26.168377823408623,10,11,13,2700,6.76,12,11,12,11,6,1500,100,101,11,96,100
DM,26.50239561943874,8,9,11,487,7.0,8,10,11,14,12,1500,90,95,5,66,90
"AM (RL), ST (C)",22.72689938398357,12,14,10,1246,6.83,13,11,10,12,8,2500,116,134,16,117,119
"AM (R), ST (C)",23.394934976043807,8,8,12,1953,6.79,8,13,10,10,7,2250,100,115,10,104,100
"D (RC), DM",26.04243668720055,14,14,11,2351,6.89,11,12,13,11,6,3500,128,135,14,161,128
"DM, M (C)",22.937713894592743,11,13,13,2475,6.94,9,13,11,14,15,3850,115,129,14,140,122
ST (C),21.560574948665298,13,13,12,108,6.35,12,12,12,15,7,3750,114,134,15,161,115
"D (RC), WB/M (R)",22.518822724161534,14,17,15,2657,7.09,11,13,12,12,4,5400,138,150,18,161,142
"AM (RL), ST (C)",22.680355920602327,10,12,10,3424,6.8,11,10,9,14,9,2750,119,130,12,147,119
GK,23.99726214921287,8,8,12,270,7.23,5,12,11,13,5,1250,85,101,8,66,85
"DM, M (C)",21.412731006160165,10,3,12,940,6.67,11,12,13,18,11,5300,124,145,14,178,124
D (RC),22.496919917864478,10,13,12,165,6.93,7,14,12,12,7,3250,116,143,15,161,118
AM (RL),24.06297056810404,8,14,14,290,6.67,2,10,11,8,8,2500,109,120,14,117,109
ST (C),21.533196440793976,10,3,11,2834,6.77,17,11,12,14,12,4000,111,127,14,147,111
"DM, M (C)",25.27583846680356,12,13,14,2733,7.08,8,10,11,10,14,2750,107,120,1,73,107
"DM, M (C)",20.799452429842574,14,16,14,2355,6.93,13,16,13,16,5,6100,148,178,20,185,159
AM (RLC),26.529774127310063,12,13,11,347,6.99,11,12,11,9,10,2000,100,110,8,117,100
AM (RL),24.380561259411362,10,3,10,251,6.72,10,10,10,14,6,1250,88,102,2,66,83
"AM (L), ST (C)",21.859000684462696,11,6,11,752,6.57,9,12,10,9,5,2500,105,123,11,117,105
D (C),22.532511978097194,13,14,14,2947,6.93,6,12,11,13,5,2450,99,124,13,96,105
ST (C),21.746748802190282,12,12,14,747,7.0,10,13,12,13,8,4900,135,153,17,173,134
D (C),19.529089664613277,10,15,11,514,6.87,5,11,12,18,7,1750,96,120,6,117,99
D (C),23.498973305954827,13,5,9,124,6.45,14,9,12,20,10,2400,109,123,14,161,109
"D (C), DM, M (C)",24.84599589322382,12,12,9,2259,6.97,12,9,12,9,7,1350,92,100,7,73,92
D (L),21.0403832991102,11,12,11,1049,6.91,12,12,12,13,7,3750,115,140,18,147,116
D (C),24.83504449007529,14,13,11,62,6.6,6,12,12,10,5,4000,105,110,8,158,105
"AM (RLC), ST (C)",22.034223134839152,11,12,12,2882,6.88,17,14,10,13,13,6550,147,162,20,185,147
D (LC),20.71731690622861,13,15,14,597,6.9,6,9,11,12,5,4550,122,147,19,140,126
M/AM (C),20.369609856262834,13,13,11,1162,6.83,10,13,10,11,5,3250,121,141,12,161,121
"AM (RL), ST (C)",20.525667351129364,13,15,15,2752,7.16,7,11,11,14,5,4350,114,135,19,140,125
AM (RL),21.385352498288842,13,13,11,183,7.16,8,13,9,17,6,1600,87,110,12,104,87
D (C),21.43463381245722,11,3,12,2622,6.67,13,9,13,7,6,1750,94,130,11,96,100
D (LC),18.967830253251197,16,14,14,52,7.05,14,14,14,12,4,3250,115,135,19,178,118
"DM, M (C)",23.65776865160849,11,13,12,1727,6.6,13,10,16,15,5,3750,110,120,10,130,110
"D (C), DM, M (C)",22.491444216290212,12,13,13,3419,6.93,1,12,12,14,6,2500,113,127,17,147,113
"AM (RL), ST (C)",20.588637919233403,12,13,13,1067,6.84,11,12,13,13,12,2500,117,142,14,161,122
"AM (RL), ST (C)",21.388090349075977,15,13,14,254,6.75,13,10,13,12,7,5400,129,148,13,185,129
"AM (RL), ST (C)",20.528405201916495,8,13,15,2139,6.89,12,8,10,8,7,5350,127,150,16,185,141
M (C),21.420944558521562,15,15,14,1208,6.99,12,13,11,12,11,2500,110,130,15,117,111
D (C),21.229295003422312,11,4,11,3420,6.87,17,13,12,19,7,2750,113,149,14,117,122
"AM (L), ST (C)",23.277207392197127,12,13,15,2884,6.81,12,13,11,15,11,5000,125,140,15,161,125
M (C),19.82751540041068,9,4,11,0,0.0,13,10,11,18,10,2000,98,116,15,96,98
AM (RL),20.161533196440793,13,10,10,408,6.4,13,12,9,11,10,1050,85,90,14,85,85
D/WB/M/AM (L),19.655030800821354,12,14,11,1448,6.87,14,10,11,18,6,1750,97,119,15,117,101
AM (RL),20.396988364134156,12,14,14,0,0.0,16,11,12,12,8,1000,83,92,2,66,83
"AM (R), ST (C)",19.534565366187543,11,13,11,399,6.64,12,11,12,12,5,2500,105,131,14,161,107
ST (C),19.28268309377139,14,17,15,2946,7.07,11,9,11,12,7,4700,128,162,19,140,146
"DM, M (C)",19.665982203969882,12,9,10,157,6.8,4,12,9,13,8,2850,95,101,11,96,95
M/AM (C),19.50171115674196,14,15,14,2337,6.78,13,12,13,13,5,3500,120,142,14,161,123
M/AM (C),20.71457905544148,12,13,13,763,6.79,9,10,11,18,8,1250,95,120,14,85,95
"AM (RLC), ST (C)",19.704312114989733,12,7,10,426,6.67,8,14,11,7,5,1250,100,120,11,147,102
AM (RL),19.731690622861056,11,3,10,2388,6.66,11,13,10,8,10,1500,90,112,5,85,90
"DM, M (C)",23.356605065023956,11,16,14,2805,6.99,12,11,13,7,10,3750,109,128,14,158,114
"DM, M (C)",20.161533196440793,13,11,13,434,6.74,1,11,10,14,5,1850,92,112,14,104,94
AM (RL),18.69678302532512,14,13,13,1120,6.99,9,13,16,14,12,2000,77,106,12,85,86
D (C),20.520191649555098,13,12,17,2250,7.11,12,11,11,17,5,3250,128,160,12,161,136
"DM, M (C)",19.173169062286107,11,2,13,776,6.84,10,9,10,20,9,1500,96,113,11,96,96
"DM, M (C)",18.798083504449007,12,13,12,962,6.92,9,12,12,12,5,1000,93,100,14,85,93
ST (C),19.865845311430526,10,6,9,62,6.5,8,13,12,11,12,1500,93,116,10,117,93
AM (RL),18.034223134839152,11,3,13,407,6.67,6,11,19,7,5,1050,85,128,15,85,85
D (RL),18.54072553045859,10,19,11,2071,6.64,9,9,7,19,10,750,88,110,13,96,93
ST (C),30.524298425735797,10,12,16,835,6.71,11,8,12,10,8,5000,115,130,14,130,114
"DM, M (C)",29.451060917180012,14,13,12,2376,6.71,10,12,13,7,7,5500,134,138,14,185,132
D (RC),35.02258726899384,16,15,11,131,6.77,12,12,11,16,8,3050,111,132,14,104,101
AM (RL),27.860369609856264,8,10,12,0,0.0,6,11,8,20,8,1500,90,104,6,66,88
D/WB/M (L),29.295003422313485,13,12,8,2236,6.8,11,8,8,11,4,1500,85,92,10,86,85
ST (C),31.865845311430526,13,13,12,990,7.11,11,12,12,8,7,4250,110,135,8,117,107
"DM, M (C)",31.540041067761805,13,15,12,2055,6.9,11,10,11,11,8,3000,96,115,5,66,90
"D (LC), WB (L)",29.166324435318277,12,12,12,2753,6.88,12,12,11,12,10,2650,108,120,15,104,107
"D (C), DM",32.375085557837096,10,3,12,480,6.92,1,9,10,8,6,1250,84,98,6,66,78
"AM (RL), ST (C)",27.822039698836413,12,13,14,265,6.65,12,13,7,13,13,5950,128,145,17,178,126
"DM, M (C)",29.286789869952088,13,14,15,2518,7.06,12,12,11,12,7,4000,128,135,12,161,128
ST (C),28.301163586584533,11,11,9,2842,7.17,11,11,10,10,7,1250,79,88,8,86,78
D (R),30.573579739904176,13,11,10,0,0.0,5,10,10,13,12,1050,82,86,6,66,79
"AM (R), ST (C)",30.247775496235455,8,11,15,1623,6.87,13,6,11,13,9,3800,113,127,5,66,110
D (C),28.711841204654345,14,12,10,349,6.84,11,12,12,8,14,2750,102,110,5,117,100
"DM, M (C)",28.035592060232716,14,14,13,51,6.4,12,11,11,13,5,1600,87,92,13,94,87
"AM (R), ST (C)",28.522929500342233,11,12,12,326,7.03,13,10,11,11,4,3000,100,118,12,85,98
D/WB (L),29.00205338809035,13,13,10,666,6.93,14,12,12,15,13,4000,120,140,14,130,120
M/AM (RL),31.293634496919918,13,13,13,1927,7.18,11,11,10,14,9,3550,110,116,15,85,106
AM (RC),29.700205338809035,11,13,10,2374,6.92,13,11,10,11,5,1050,82,87,2,66,82
M/AM (RL),26.518822724161534,9,8,13,643,7.02,11,11,11,10,6,3500,104,104,16,96,104
M (C),28.542094455852155,12,12,11,2666,7.22,13,9,10,10,9,3500,96,120,7,66,96
"AM (RL), ST (C)",25.97946611909651,10,12,9,65,6.55,10,10,11,10,15,4500,118,125,14,161,118
"M (RL), AM (L)",26.625598904859686,11,11,9,90,6.4,7,10,10,15,6,2800,92,113,16,96,92
ST (C),26.47501711156742,10,12,14,2870,6.9,10,10,13,14,7,4000,118,130,18,134,118
"AM (L), ST (C)",29.634496919917865,9,16,14,2026,6.56,8,13,10,11,5,5000,102,140,15,85,101
"DM, M (C)",26.874743326488705,15,16,15,2488,6.89,9,10,12,15,5,4250,92,103,9,80,92
"AM (LC), ST (C)",27.485284052019164,9,13,14,2113,6.83,11,7,13,13,8,5000,127,135,14,173,127
"DM, M (C)",26.661190965092402,11,12,9,2399,6.96,8,10,12,10,7,3250,105,106,12,96,105
"AM (C), ST (C)",26.746064339493497,14,15,14,481,6.82,13,14,11,18,5,5750,130,155,20,134,130
