Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
"WB (R), DM, M (C)",35.115674195756334,16,14,13,3941,6.92,15,12,15,8,5,3750,123,19,18,134,-7
ST (C),34.65845311430527,12,14,12,455,6.62,12,12,11,9,8,3750,105,25,11,107,-8
M/AM (C),35.605749486652975,17,14,14,3224,6.99,9,14,10,9,9,1200,62,10,10,46,-3
GK,34.729637234770706,18,15,15,3420,6.69,15,16,14,13,4,2000,99,0,13,85,-4
"DM, M/AM (LC)",37.2539356605065,12,18,14,90,6.8,12,12,12,14,16,3500,95,29,10,85,-12
"DM, M/AM (C)",35.14579055441479,19,15,15,2532,6.58,16,15,15,16,16,6250,146,13,18,185,-5
GK,34.38466803559206,15,13,12,2880,6.81,16,12,17,7,5,5250,127,26,15,125,-5
GK,34.80355920602327,11,10,14,90,7.2,10,7,14,11,4,2300,84,31,5,107,-6
ST (C),34.48596851471595,13,14,12,106,6.63,13,13,11,12,14,4500,114,32,11,117,-9
GK,35.29363449691992,20,14,12,270,6.63,16,13,15,13,6,5750,136,14,20,185,-6
"AM (RC), ST (C)",33.927446954141,16,14,15,574,6.55,13,12,14,12,15,4500,123,19,16,185,-9
D (C),34.261464750171115,14,12,13,0,0.0,12,11,12,10,18,5500,124,14,15,185,-9
ST (C),34.286105407255306,16,15,15,0,0.0,10,12,11,13,5,3000,102,20,13,134,-7
M/AM (C),33.65366187542779,6,9,11,3102,6.65,14,7,7,7,9,2400,75,30,9,72,-10
"D (C), DM, M (C)",33.91375770020534,18,16,14,365,6.48,12,13,11,11,18,3000,96,44,17,107,-11
D (C),34.4394250513347,15,14,11,2982,6.73,14,13,12,10,18,3500,97,34,6,85,-8
ST (C),34.247775496235455,8,6,11,275,7.04,10,10,12,5,13,1250,73,12,3,72,-11
"DM, M (C)",36.18069815195072,14,14,14,0,0.0,9,11,7,12,14,2500,81,53,17,107,-11
D (C),35.27446954140999,8,17,10,4331,6.79,9,8,10,12,13,1150,74,19,6,46,-11
D (C),34.64476386036961,18,16,15,789,6.64,14,11,12,15,6,2800,90,40,6,85,-8
"DM, M (C)",36.591375770020534,15,9,8,1653,7.03,10,8,13,9,9,2000,76,31,9,46,-10
D (C),32.59411362080767,17,13,13,2458,6.67,11,11,12,15,4,3500,112,22,14,134,-3
ST (C),36.271047227926076,16,11,12,388,6.88,12,11,14,18,13,4000,102,34,12,85,-8
D (C),36.049281314168375,16,14,12,0,0.0,11,10,11,10,12,2250,78,32,9,72,-3
"M (RL), AM (RLC)",34.458590006844624,8,10,13,1887,6.84,14,13,7,10,8,3000,90,30,7,72,-11
"DM, M (C)",34.65845311430527,7,11,13,921,6.51,15,10,12,7,12,3500,92,36,9,85,-11
GK,40.2217659137577,17,14,14,961,6.93,10,8,14,12,15,6200,139,28,14,178,-19
ST (C),38.770704996577685,16,14,13,119,6.83,10,12,10,16,4,1750,36,84,1,46,-8
"DM, M (C)",35.006160164271044,12,12,10,2868,6.9,14,12,12,9,12,3500,110,10,14,140,-11
"M (R), AM (RL)",30.299794661190965,12,13,11,533,6.56,11,9,11,12,9,2800,112,15,10,125,0
D/WB/M (L),37.672826830937716,13,18,8,1830,6.85,17,13,14,10,11,5250,130,7,19,140,-15
GK,35.64955509924709,7,12,12,360,6.35,9,7,12,9,13,3700,109,15,10,140,-8
GK,35.63586584531143,15,15,12,495,6.9,14,12,10,9,2,3750,112,12,15,173,-7
D (C),30.90485968514716,14,12,14,2880,6.94,12,10,14,13,3,4250,125,5,9,130,0
GK,37.97125256673511,19,16,13,3600,6.76,16,15,14,15,7,6000,132,16,13,173,-8
ST (C),34.64202600958248,16,14,16,3159,7.03,14,11,15,12,5,4950,128,8,17,120,-8
M/AM (RL),32.79671457905544,17,14,13,2671,6.6,11,11,13,13,7,5200,129,15,13,173,-4
AM (RL),36.18069815195072,10,12,10,430,6.71,16,11,11,16,13,2750,110,35,6,130,-11
GK,35.96167008898015,18,14,16,3270,7.0,10,11,10,8,10,2100,97,11,12,104,-3
GK,34.217659137577,13,12,10,540,7.08,11,12,13,13,9,2750,110,10,14,130,-6
GK,40.837782340862425,20,20,20,1110,6.86,13,14,12,20,6,6000,135,40,17,178,-15
"M (C), AM (RLC)",38.379192334017795,13,8,12,2188,6.94,12,10,13,20,7,2100,92,13,8,73,-10
GK,39.1047227926078,11,13,13,0,0.0,14,13,15,8,11,4600,122,22,12,178,-17
GK,41.75770020533881,15,14,11,3150,6.66,14,15,14,13,5,2950,99,30,9,87,-10
D (C),37.82614647501711,15,13,15,3012,6.84,16,13,15,16,12,6750,148,13,17,178,-20
"M (C), AM (RLC)",38.55167693360712,19,15,14,2409,6.77,16,14,16,17,12,6250,140,25,15,116,-18
D/WB/M/AM (R),37.61259411362081,18,16,14,3585,6.86,15,15,13,5,12,6350,137,24,16,178,-12
GK,37.582477754962355,8,8,8,2482,6.83,10,5,15,7,9,3500,110,12,7,73,-11
D (C),37.25941136208077,18,20,18,4150,6.94,20,19,13,12,9,7050,151,23,16,178,-5
GK,36.139630390143736,16,13,13,3189,6.96,12,12,15,14,9,5900,138,17,20,158,-2
"M (RL), AM (RLC), ST (C)",36.49007529089665,11,2,11,2793,7.03,15,8,11,9,9,2500,100,20,2,73,-13
"D (RL), WB (R)",36.6735112936345,18,15,12,1923,6.96,12,12,15,14,6,4000,115,15,17,125,-8
"AM (RL), ST (C)",38.68309377138946,14,17,13,0,0.0,16,14,13,10,7,3950,108,13,11,120,-10
D (LC),36.12320328542094,15,14,14,3085,6.78,14,12,14,10,9,2100,90,30,5,80,-10
"D (RC), WB/M (R)",36.12867898699521,15,11,11,2913,6.61,14,12,10,9,5,4500,106,26,7,80,-10
D (C),36.19164955509925,16,14,15,2923,6.71,12,15,14,10,6,2600,99,21,5,80,-4
ST (C),36.96646132785763,15,17,13,0,0.0,12,10,12,19,9,2800,101,19,12,80,-12
D (C),37.40451745379877,18,15,14,1189,6.63,13,15,14,19,8,4950,114,27,14,120,-10
ST (C),38.8145106091718,18,18,18,2374,7.17,15,13,14,14,8,4750,106,30,12,80,-11
GK,37.30047912388775,15,15,15,0,0.0,10,10,11,10,8,3200,96,23,14,173,-11
"DM, M (C)",36.10403832991102,17,14,13,3112,7.03,13,16,13,9,9,3600,110,3,12,80,-9
ST (C),37.021218343600275,10,12,12,23,6.4,15,8,14,10,10,3500,104,9,8,125,-11
ST (C),36.04654346338125,15,15,18,1166,6.73,16,15,15,13,14,4500,108,27,12,120,-10
GK,37.58521560574949,13,13,11,3360,6.76,16,11,12,15,12,5250,112,38,13,120,-10
"D (RLC), WB (RL), M (R)",33.582477754962355,20,18,16,2614,6.9,14,18,15,10,5,6250,147,3,18,173,-3
GK,36.42984257357974,17,17,16,3510,6.85,14,13,13,13,4,5000,129,14,12,173,-3
"M (C), AM (LC)",34.861054072553046,13,13,12,12,0.0,10,11,13,12,10,5000,119,16,14,173,-11
ST (C),34.757015742642025,18,14,15,1799,6.95,14,15,11,13,8,4550,106,19,17,80,-3
"D (C), DM, M (C)",36.45722108145106,15,14,12,1629,6.66,15,13,12,11,5,2250,97,25,5,80,-11
D (C),35.214236824093085,15,13,14,1819,6.6,13,12,11,14,14,4000,91,32,6,80,-9
GK,37.686516084873375,17,16,15,180,6.3,13,7,13,15,7,4250,108,32,14,173,-8
GK,35.98631074606434,12,12,15,3150,6.64,11,10,12,12,8,2250,91,21,5,80,-5
"D (RL), WB (R)",31.967145790554415,14,11,11,667,6.65,13,12,11,11,5,2750,110,15,11,130,-9
D (LC),36.19164955509925,14,12,14,2936,6.84,13,17,16,14,11,6250,132,33,18,147,-15
"D (C), DM",33.73305954825462,14,14,14,2840,6.97,13,12,13,12,14,4500,116,13,11,96,-9
D (RC),26.373716632443532,12,14,11,2880,6.83,13,11,13,12,12,3500,126,9,12,161,2
"D (C), DM",36.106776180698155,17,15,15,6,0.0,13,12,15,18,5,3750,107,13,12,110,-7
GK,33.62628336755647,13,13,14,2461,6.78,13,11,15,11,7,3500,109,6,12,85,-8
"D (RC), DM",35.09924709103354,13,15,14,2519,6.77,11,10,12,14,8,4250,121,9,20,147,-10
"DM, M (C)",35.34839151266256,18,16,16,3314,6.9,14,12,13,14,10,5500,122,13,17,147,-1
GK,35.60301163586585,13,14,12,0,0.0,6,12,14,13,12,2500,100,15,14,85,-4
"D (LC), WB (L)",33.76043805612594,5,4,15,636,6.65,12,9,11,14,5,2000,90,15,13,85,-11
GK,35.32375085557837,18,15,15,3810,6.85,13,13,13,16,4,5750,135,17,20,147,0
"D (C), DM, M (C)",34.469541409993155,16,13,8,3513,6.92,18,18,16,17,10,6600,147,13,17,178,-6
ST (C),34.280629705681044,15,13,7,2379,6.93,15,16,14,15,4,3750,110,25,15,96,-11
M/AM (RL),33.91649555099247,15,12,14,1160,6.67,12,13,9,8,19,5000,120,25,13,147,-11
"AM (RLC), ST (C)",33.724845995893226,10,14,13,1946,7.06,14,11,14,12,11,2000,98,8,8,85,-11
"DM, M (RC), AM (RLC)",36.35044490075291,14,12,14,434,6.71,12,8,8,8,6,4250,105,5,12,96,-11
"D (C), DM, M (C)",36.16974674880219,12,14,13,2479,6.64,12,11,16,11,16,4200,97,14,12,96,-11
GK,33.229295003422315,14,14,15,1710,6.62,2,13,11,11,5,1700,77,12,12,85,-5
"DM, M (C)",34.80355920602327,12,14,12,74,6.9,12,11,15,10,18,1700,106,8,11,96,-11
"D (C), DM, M (C)",37.270362765229294,13,17,10,1604,6.76,14,8,18,20,15,2000,94,21,14,85,-10
"D (RC), WB (R), DM",32.71184120465435,14,14,12,2601,6.74,15,11,14,13,5,3500,113,0,10,96,-5
GK,32.53114305270363,14,14,14,360,6.75,15,14,11,7,15,3000,96,14,14,147,-6
"WB (R), DM, M (R)",32.97741273100616,8,17,10,1502,6.76,16,9,12,12,7,950,79,9,10,85,-4
ST (C),32.5284052019165,12,11,10,125,6.53,5,11,11,18,11,2500,87,13,13,85,-8
"D (C), DM",33.31690622861054,10,7,11,2989,6.88,12,12,12,18,8,1250,92,18,10,85,-10
"DM, M (C)",33.35523613963039,8,2,13,596,6.75,6,13,20,9,5,250,75,1,12,85,-13
D/WB/M/AM (R),33.08145106091718,7,10,11,555,6.74,13,7,14,12,16,3750,104,11,12,147,-11
GK,33.177275838466805,14,14,14,4020,6.75,11,14,15,17,12,4250,121,3,12,147,-1
"D (RC), WB (R)",34.5927446954141,14,17,10,3653,6.8,15,13,17,15,11,4250,122,11,15,147,-7
D (LC),38.17385352498289,13,13,13,2205,6.75,13,10,12,10,11,2250,90,25,7,66,-11
GK,38.26420260095825,17,14,16,3630,6.75,14,13,15,8,3,5500,134,20,16,161,-11
"AM (R), ST (C)",36.34496919917864,13,14,13,2138,7.15,13,12,11,7,10,2650,98,17,5,66,-11
"DM, M (C)",37.0321697467488,11,13,10,1962,6.97,13,10,12,10,10,2000,91,24,5,66,-11
"AM (C), ST (C)",36.15605749486653,12,14,16,10,0.0,12,11,10,15,12,4500,112,46,11,120,-12
D (C),38.24229979466119,17,15,14,1980,6.88,9,15,10,10,8,3500,102,34,15,85,-11
D (LC),36.785763175906915,12,14,11,2068,6.67,13,11,12,12,7,1500,89,7,4,66,-11
"D (C), DM",35.94250513347023,16,15,13,2160,6.7,12,8,10,14,9,3000,90,20,7,66,-11
"D (RL), WB (R)",35.121149897330596,14,14,12,2368,6.92,12,14,11,17,9,1450,89,12,6,66,-11
"DM, M (C)",37.28678986995209,17,13,14,2768,6.96,14,12,12,12,5,3550,110,32,12,85,-10
ST (C),38.554414784394254,13,10,14,3025,7.1,12,12,14,12,7,3250,102,33,10,85,-12
GK,36.56673511293634,15,14,13,2779,6.72,14,12,12,13,5,3550,117,13,11,117,-5
"DM, M (C)",37.31416837782341,20,17,16,1644,6.67,14,18,18,16,2,5000,130,2,13,173,-5
"DM, M (C)",38.47775496235455,14,16,13,797,6.89,14,13,12,16,15,3750,115,33,6,117,-13
"AM (RL), ST (C)",37.327857631759066,14,13,13,1618,6.86,14,12,11,17,10,3000,100,20,8,66,-12
"DM, M/AM (C)",35.58658453114305,11,10,12,2679,7.05,13,8,12,18,8,2500,100,5,5,85,-11
D/WB/M (R),36.46543463381246,17,15,13,928,6.64,14,12,12,17,10,3750,110,14,5,117,-11
"D (C), DM, M (C)",37.11978097193703,15,16,15,1334,6.81,12,14,10,14,11,4000,97,51,14,85,-12
"DM, M (RC)",34.458590006844624,15,14,13,515,7.12,13,13,11,19,14,3650,113,16,13,117,-11
GK,34.32443531827516,12,13,11,180,6.7,13,10,12,11,7,1500,85,11,8,85,-5
M/AM (C),35.47707049965777,13,11,14,1545,6.52,12,6,10,8,15,2750,98,49,5,66,-11
D (C),36.71731690622861,16,14,12,3471,6.6,13,12,12,15,9,5400,123,14,11,116,-8
D (RLC),35.19507186858316,16,15,14,1569,6.7,13,14,11,12,7,3000,96,21,13,85,-11
GK,34.286105407255306,14,15,12,1530,6.79,15,12,11,17,5,3000,110,5,12,161,-3
D (C),34.119096509240244,14,15,13,45,0.0,14,13,12,10,9,3250,107,18,10,117,-6
GK,35.42505133470226,10,13,13,3330,6.64,15,11,11,12,8,2750,110,14,12,117,-5
"AM (RL), ST (C)",33.541409993155376,15,15,16,1396,6.55,15,15,13,17,7,5500,124,16,15,161,-7
"M (L), AM (LC)",35.97809719370294,10,10,14,2099,7.03,14,8,9,14,13,2250,94,38,8,66,-10
D (C),36.328542094455855,15,15,14,90,6.6,12,11,10,6,4,4250,100,35,12,80,-10
"DM, M/AM (C)",32.68446269678302,12,13,15,3254,6.89,13,12,12,7,10,5000,112,23,6,117,-8
ST (C),34.8062970568104,12,13,14,2485,7.16,10,14,13,9,6,3000,113,2,12,117,-9
"DM, M/AM (C)",34.8145106091718,14,14,12,2985,6.9,14,11,13,11,5,3250,110,6,12,117,-10
DM,36.26830937713895,13,15,12,1866,6.81,13,12,13,5,8,3500,101,18,6,66,-10
"DM, M (C)",33.648186173853524,12,8,11,2771,6.66,14,7,12,14,10,5000,115,40,6,130,-9
GK,37.12799452429842,13,16,13,1914,6.68,16,14,14,17,5,1500,86,14,6,66,-11
"M (RL), AM (RLC)",36.709103353867214,14,11,15,3243,6.81,14,14,10,8,5,3500,111,14,8,117,-13
ST (C),33.39356605065024,12,8,12,2551,6.9,12,10,10,11,5,1650,86,9,4,66,-9
"DM, M (C)",34.97604380561259,5,11,10,401,6.71,15,8,11,8,11,6250,141,7,17,178,-15
"M (RC), AM (R)",33.87816563997262,15,13,15,367,6.92,13,13,13,14,5,5000,124,26,14,161,-8
AM (LC),33.34428473648186,8,9,10,788,7.22,12,10,12,13,8,1500,92,8,4,66,-11
ST (C),33.40451745379877,16,10,16,2622,6.71,16,12,9,11,6,4000,113,25,5,107,-6
GK,33.57973990417522,16,15,15,630,6.74,10,11,11,10,9,5250,121,19,19,134,-6
ST (C),35.43326488706366,12,15,18,364,6.63,16,14,10,15,10,4000,74,66,14,72,-11
"DM, M/AM (C)",34.67488021902806,17,12,12,142,6.68,16,11,12,18,14,4000,100,35,16,134,-7
D (C),41.22108145106092,12,15,15,2551,6.73,13,14,15,3,1,900,47,22,5,46,-12
GK,38.171115674195754,16,10,10,0,0.0,13,8,11,8,9,3250,110,5,15,173,-11
"DM, M/AM (C)",37.74401095140315,17,11,15,0,0.0,10,11,9,11,10,1250,80,45,11,125,-11
GK,37.267624914442166,15,18,16,3420,6.93,17,20,16,8,12,8000,162,31,19,173,-11
"DM, M (LC)",36.89801505817933,7,11,11,0,0.0,11,11,11,13,10,2300,97,18,10,94,-12
ST (C),35.846680355920604,16,15,12,310,6.62,15,13,13,6,10,3750,111,25,9,94,-8
"M (RLC), AM (C)",35.75359342915811,18,16,14,0,0.0,17,14,17,10,5,1900,93,32,14,125,-7
GK,36.54757015742642,18,16,15,360,7.12,17,15,15,14,9,6750,151,16,20,161,-7
GK,38.510609171800134,12,12,9,2468,6.61,14,10,11,7,14,3250,95,21,9,73,-11
GK,37.073237508555785,15,15,14,3660,6.82,12,12,12,12,6,2650,108,22,12,104,-9
D (C),38.776180698151954,20,15,17,1845,6.74,13,11,15,13,11,7500,156,18,20,185,-16
D (C),37.158110882956876,15,12,15,2542,6.65,10,13,12,13,7,3950,119,2,13,158,-16
GK,35.663244353182755,13,11,12,2610,6.79,12,12,11,13,8,1450,84,5,13,86,-6
ST (C),37.152635181382614,15,14,15,1174,6.89,10,12,10,15,15,1650,88,5,15,86,-11
D (C),36.84873374401095,12,11,12,39,6.8,8,13,10,11,7,2250,100,15,12,104,-11
D (RC),36.53661875427789,14,14,14,1693,6.61,12,14,12,13,12,4150,113,17,8,158,-10
D/WB/M (L),36.25462012320329,15,16,14,2492,6.83,13,13,13,15,7,3250,115,32,14,104,-11
"D (RC), WB (R)",34.93223819301848,11,10,10,2104,6.83,9,10,11,9,11,1500,96,7,4,66,-11
ST (C),29.190965092402465,15,17,15,2731,7.05,14,17,15,14,7,6250,141,3,12,178,0
D (C),29.352498288843258,15,15,14,2902,6.86,13,14,13,12,8,6400,148,6,17,173,0
"AM (RLC), ST (C)",28.09034907597536,15,15,15,2194,6.79,14,15,12,15,8,5800,131,6,15,178,0
"DM, M (C)",27.222450376454482,14,15,15,1965,6.71,13,15,16,11,3,3500,128,10,15,173,3
"D (C), DM",33.51129363449692,13,13,10,3538,6.92,13,8,12,10,10,2800,110,10,6,117,-7
"DM, M (C)",31.956194387405887,14,14,16,1862,6.83,13,12,11,13,7,5250,120,25,14,134,-9
"D/WB (R), DM, M (C)",31.871321013004792,14,15,11,2340,6.99,14,13,12,14,7,1750,97,4,8,66,-6
"DM, M (C)",29.50034223134839,12,13,11,2160,7.2,10,10,11,9,8,1500,97,9,2,66,0
ST (C),35.03901437371663,12,16,14,2464,6.73,14,14,13,12,8,6000,126,30,14,147,-10
"DM, M (C)",31.975359342915812,14,13,12,2337,6.87,10,12,11,16,12,3350,107,13,15,94,-8
"D (LC), WB (L)",28.213552361396303,11,16,16,1875,6.83,14,11,13,13,10,6150,143,5,19,173,0
D/WB (RL),29.533196440793976,10,14,12,2679,6.85,1,13,13,12,7,3500,120,6,14,117,0
"D (LC), WB (L)",31.42778918548939,13,13,12,538,6.79,12,12,13,14,12,4300,116,4,14,125,-12
"DM, M (C)",30.976043805612594,16,14,14,343,6.74,12,14,13,14,6,6250,139,16,19,185,-1
"DM, M (C)",21.94387405886379,16,16,10,3412,6.83,13,13,15,14,4,2000,90,40,12,85,15
AM (RL),24.331279945242983,13,13,12,1075,6.62,11,12,11,13,6,3600,121,7,14,161,0
M/AM (RL),23.49075975359343,11,11,11,1113,6.73,12,11,11,14,6,3250,110,17,8,117,0
ST (C),25.9958932238193,13,3,10,383,7.04,7,10,13,13,7,2750,110,10,10,117,0
ST (C),28.54483230663929,9,3,12,2758,7.04,8,12,14,16,11,1500,85,15,10,94,0
"M (C), AM (RLC)",22.357289527720738,10,15,16,3126,6.89,14,8,7,14,9,3200,120,18,14,147,11
ST (C),24.046543463381244,13,13,13,539,6.72,10,7,12,10,8,5600,122,13,14,178,0
ST (C),26.86652977412731,11,13,10,2897,6.74,11,12,12,12,5,2500,100,5,5,85,0
GK,26.168377823408623,10,11,13,2700,6.76,12,11,12,11,6,1500,100,1,11,96,0
DM,26.50239561943874,8,9,11,487,7.0,8,10,11,14,12,1500,90,5,5,66,0
"AM (RL), ST (C)",22.72689938398357,12,14,10,1246,6.83,13,11,10,12,8,2500,116,18,16,117,3
"AM (R), ST (C)",23.394934976043807,8,8,12,1953,6.79,8,13,10,10,7,2250,100,15,10,104,0
"D (RC), DM",26.04243668720055,14,14,11,2351,6.89,11,12,13,11,6,3500,128,7,14,161,0
"DM, M (C)",22.937713894592743,11,13,13,2475,6.94,9,13,11,14,15,3850,115,14,14,140,7
ST (C),21.560574948665298,13,13,12,108,6.35,12,12,12,15,7,3750,114,20,15,161,1
"D (RC), WB/M (R)",22.518822724161534,14,17,15,2657,7.09,11,13,12,12,4,5400,138,12,18,161,4
"AM (RL), ST (C)",22.680355920602327,10,12,10,3424,6.8,11,10,9,14,9,2750,119,11,12,147,0
GK,23.99726214921287,8,8,12,270,7.23,5,12,11,13,5,1250,85,16,8,66,0
"DM, M (C)",21.412731006160165,10,3,12,940,6.67,11,12,13,18,11,5300,124,21,14,178,0
D (RC),22.496919917864478,10,13,12,165,6.93,7,14,12,12,7,3250,116,27,15,161,2
AM (RL),24.06297056810404,8,14,14,290,6.67,2,10,11,8,8,2500,109,11,14,117,0
ST (C),21.533196440793976,10,3,11,2834,6.77,17,11,12,14,12,4000,111,16,14,147,0
"DM, M (C)",25.27583846680356,12,13,14,2733,7.08,8,10,11,10,14,2750,107,13,1,73,0
"DM, M (C)",20.799452429842574,14,16,14,2355,6.93,13,16,13,16,5,6100,148,30,20,185,11
AM (RLC),26.529774127310063,12,13,11,347,6.99,11,12,11,9,10,2000,100,10,8,117,0
AM (RL),24.380561259411362,10,3,10,251,6.72,10,10,10,14,6,1250,88,14,2,66,-5
"AM (L), ST (C)",21.859000684462696,11,6,11,752,6.57,9,12,10,9,5,2500,105,18,11,117,0
D (C),22.532511978097194,13,14,14,2947,6.93,6,12,11,13,5,2450,99,25,13,96,6
ST (C),21.746748802190282,12,12,14,747,7.0,10,13,12,13,8,4900,135,18,17,173,-1
D (C),19.529089664613277,10,15,11,514,6.87,5,11,12,18,7,1750,96,24,6,117,3
D (C),23.498973305954827,13,5,9,124,6.45,14,9,12,20,10,2400,109,14,14,161,0
"D (C), DM, M (C)",24.84599589322382,12,12,9,2259,6.97,12,9,12,9,7,1350,92,8,7,73,0
D (L),21.0403832991102,11,12,11,1049,6.91,12,12,12,13,7,3750,115,25,18,147,1
D (C),24.83504449007529,14,13,11,62,6.6,6,12,12,10,5,4000,105,5,8,158,0
"AM (RLC), ST (C)",22.034223134839152,11,12,12,2882,6.88,17,14,10,13,13,6550,147,15,20,185,0
D (LC),20.71731690622861,13,15,14,597,6.9,6,9,11,12,5,4550,122,25,19,140,4
M/AM (C),20.369609856262834,13,13,11,1162,6.83,10,13,10,11,5,3250,121,20,12,161,0
"AM (RL), ST (C)",20.525667351129364,13,15,15,2752,7.16,7,11,11,14,5,4350,114,21,19,140,11
AM (RL),21.385352498288842,13,13,11,183,7.16,8,13,9,17,6,1600,87,23,12,104,0
D (C),21.43463381245722,11,3,12,2622,6.67,13,9,13,7,6,1750,94,36,11,96,6
D (LC),18.967830253251197,16,14,14,52,7.05,14,14,14,12,4,3250,115,20,19,178,3
"DM, M (C)",23.65776865160849,11,13,12,1727,6.6,13,10,16,15,5,3750,110,10,10,130,0
"D (C), DM, M (C)",22.491444216290212,12,13,13,3419,6.93,1,12,12,14,6,2500,113,14,17,147,0
"AM (RL), ST (C)",20.588637919233403,12,13,13,1067,6.84,11,12,13,13,12,2500,117,25,14,161,5
"AM (RL), ST (C)",21.388090349075977,15,13,14,254,6.75,13,10,13,12,7,5400,129,19,13,185,0
"AM (RL), ST (C)",20.528405201916495,8,13,15,2139,6.89,12,8,10,8,7,5350,127,23,16,185,14
M (C),21.420944558521562,15,15,14,1208,6.99,12,13,11,12,11,2500,110,20,15,117,1
D (C),21.229295003422312,11,4,11,3420,6.87,17,13,12,19,7,2750,113,36,14,117,9
"AM (L), ST (C)",23.277207392197127,12,13,15,2884,6.81,12,13,11,15,11,5000,125,15,15,161,0
M (C),19.82751540041068,9,4,11,0,0.0,13,10,11,18,10,2000,98,18,15,96,0
AM (RL),20.161533196440793,13,10,10,408,6.4,13,12,9,11,10,1050,85,5,14,85,0
D/WB/M/AM (L),19.655030800821354,12,14,11,1448,6.87,14,10,11,18,6,1750,97,22,15,117,4
AM (RL),20.396988364134156,12,14,14,0,0.0,16,11,12,12,8,1000,83,9,2,66,0
"AM (R), ST (C)",19.534565366187543,11,13,11,399,6.64,12,11,12,12,5,2500,105,26,14,161,2
ST (C),19.28268309377139,14,17,15,2946,7.07,11,9,11,12,7,4700,128,34,19,140,18
"DM, M (C)",19.665982203969882,12,9,10,157,6.8,4,12,9,13,8,2850,95,6,11,96,0
M/AM (C),19.50171115674196,14,15,14,2337,6.78,13,12,13,13,5,3500,120,22,14,161,3
M/AM (C),20.71457905544148,12,13,13,763,6.79,9,10,11,18,8,1250,95,25,14,85,0
"AM (RLC), ST (C)",19.704312114989733,12,7,10,426,6.67,8,14,11,7,5,1250,100,20,11,147,2
AM (RL),19.731690622861056,11,3,10,2388,6.66,11,13,10,8,10,1500,90,22,5,85,0
"DM, M (C)",23.356605065023956,11,16,14,2805,6.99,12,11,13,7,10,3750,109,19,14,158,5
"DM, M (C)",20.161533196440793,13,11,13,434,6.74,1,11,10,14,5,1850,92,20,14,104,2
AM (RL),18.69678302532512,14,13,13,1120,6.99,9,13,16,14,12,2000,77,29,12,85,9
D (C),20.520191649555098,13,12,17,2250,7.11,12,11,11,17,5,3250,128,32,12,161,8
"DM, M (C)",19.173169062286107,11,2,13,776,6.84,10,9,10,20,9,1500,96,17,11,96,0
"DM, M (C)",18.798083504449007,12,13,12,962,6.92,9,12,12,12,5,1000,93,7,14,85,0
ST (C),19.865845311430526,10,6,9,62,6.5,8,13,12,11,12,1500,93,23,10,117,0
AM (RL),18.034223134839152,11,3,13,407,6.67,6,11,19,7,5,1050,85,43,15,85,0
D (RL),18.54072553045859,10,19,11,2071,6.64,9,9,7,19,10,750,88,22,13,96,5
ST (C),30.524298425735797,10,12,16,835,6.71,11,8,12,10,8,5000,115,15,14,130,-1
"DM, M (C)",29.451060917180012,14,13,12,2376,6.71,10,12,13,7,7,5500,134,4,14,185,-2
D (RC),35.02258726899384,16,15,11,131,6.77,12,12,11,16,8,3050,111,21,14,104,-10
AM (RL),27.860369609856264,8,10,12,0,0.0,6,11,8,20,8,1500,90,14,6,66,-2
D/WB/M (L),29.295003422313485,13,12,8,2236,6.8,11,8,8,11,4,1500,85,7,10,86,0
ST (C),31.865845311430526,13,13,12,990,7.11,11,12,12,8,7,4250,110,25,8,117,-3
"DM, M (C)",31.540041067761805,13,15,12,2055,6.9,11,10,11,11,8,3000,96,19,5,66,-6
"D (LC), WB (L)",29.166324435318277,12,12,12,2753,6.88,12,12,11,12,10,2650,108,12,15,104,-1
"D (C), DM",32.375085557837096,10,3,12,480,6.92,1,9,10,8,6,1250,84,14,6,66,-6
"AM (RL), ST (C)",27.822039698836413,12,13,14,265,6.65,12,13,7,13,13,5950,128,17,17,178,-2
"DM, M (C)",29.286789869952088,13,14,15,2518,7.06,12,12,11,12,7,4000,128,7,12,161,0
ST (C),28.301163586584533,11,11,9,2842,7.17,11,11,10,10,7,1250,79,9,8,86,-1
D (R),30.573579739904176,13,11,10,0,0.0,5,10,10,13,12,1050,82,4,6,66,-3
"AM (R), ST (C)",30.247775496235455,8,11,15,1623,6.87,13,6,11,13,9,3800,113,14,5,66,-3
D (C),28.711841204654345,14,12,10,349,6.84,11,12,12,8,14,2750,102,8,5,117,-2
"DM, M (C)",28.035592060232716,14,14,13,51,6.4,12,11,11,13,5,1600,87,5,13,94,0
"AM (R), ST (C)",28.522929500342233,11,12,12,326,7.03,13,10,11,11,4,3000,100,18,12,85,-2
D/WB (L),29.00205338809035,13,13,10,666,6.93,14,12,12,15,13,4000,120,20,14,130,0
M/AM (RL),31.293634496919918,13,13,13,1927,7.18,11,11,10,14,9,3550,110,6,15,85,-4
AM (RC),29.700205338809035,11,13,10,2374,6.92,13,11,10,11,5,1050,82,5,2,66,0
M/AM (RL),26.518822724161534,9,8,13,643,7.02,11,11,11,10,6,3500,104,0,16,96,0
M (C),28.542094455852155,12,12,11,2666,7.22,13,9,10,10,9,3500,96,24,7,66,0
